Artist,Gender
Calboy,man
Timbaland,man
John Sebastian,man
The Motels,band
Billy Joel,man
Wolfman Jack,man
The Jimmy Castor Bunch,man
Gordon Lightfoot,man
Tommy Richman,man
Lupe Fiasco,man
Paul Mauriat,man
Biz Markie,man
Kws,band
Lizzo,woman
Sonny & Cher,band
Disclosure,band
Staysolidrocky,man
Trina & Tamara,band
The Kingsmen,band
Brian Mcknight,man
Color Me Badd,band
Edward Bear,band
Secondhand Serenade,band
Joe Esposito,man
Jessica Simpson,woman
Mary Lambert,woman
Sean Paul,man
2 Chainz,man
Paul Revere & The Raiders,band
Natalie La Rose,woman
Lindsey Buckingham,man
Dirty Vegas,band
Halsey,non-binary
Johnny Rivers,man
The Blackbyrds,band
L.T.D.,band
Jennifer Lawrence,woman
Pet Shop Boys,band
The Fray,band
Dem Franchize Boyz,band
Exile,band
Starpoint,band
Paula Deanda,woman
Offset,man
Krayzie Bone,man
Joe Simon,man
Madonna,woman
Lainey Wilson,woman
The Charlie Daniels Band,man
Flo Milli,woman
The S.O.S. Band,band
Quarterflash,band
Johnny Hates Jazz,band
Lumidee,woman
Craig Mack,man
John Lennon,man
Ludacris,man
Dram,man
G-Unit,band
Joe Public,band
Shalamar,band
Ashanti,woman
Gary Lewis & The Playboys,band
The Electric Prunes,band
Kate Bush,woman
Raspberries,band
Freak Nasty,man
The Emotions,band
Karyn White,woman
Paperboy,man
Glenn Medeiros,man
Marmalade,man
Santa Esmeralda,band
Sheryl Crow,woman
Sly Fox,man
Brooke Valentine,woman
Lipps Inc.,band
Carly Rae Jepsen,woman
Young Mc,man
Son By Four,band
The Oak Ridge Boys,band
David Ruffin,man
Kevin Gates,man
Bobby Helms,man
Immature,band
Styx,band
Howie Day,man
Steely Dan,band
Dasha,woman
The Hillside Singers,band
Barry Manilow,man
Shorty Long,man
Martin Garrix,man
Corey Hart,man
Average White Band,band
Robert Parker,man
Peter Frampton,man
Boyz Ii Men,band
Rufus,band
Dru Hill,band
Rayvon,man
Kings Of Leon,band
Burl Ives,man
Beverly Bremers,woman
Gino Vannelli,man
Irene Cara,woman
Timmy Thomas,man
Selena Gomez,woman
Bobby Shmurda,man
Willie Mitchell,man
The Moody Blues,band
The Lettermen,band
Frida,woman
Rosanne Cash,woman
Souldecision,band
The Pointer Sisters,band
Edward Maya,man
E-40,man
Mase,man
Natalie Merchant,woman
Terror Squad,band
Vanilla Fudge,band
Ylvis,band
Jelly Roll,man
The Beginning Of The End,band
Dan + Shay,band
Foghat,band
Arlo Guthrie,man
Young Dro,man
Meghan Trainor,woman
Aerosmith,band
David Banner,man
Deniece Williams,woman
"Dino, Desi & Billy",band
Snow,band
Buffalo Springfield,band
The Cataracs And Dev,band
Devo,band
Snow Patrol,band
Youngbloodz,band
98 Degrees,band
Mason Williams,man
Amazing Rhythm Aces,band
Andy Williams,man
Jessie J,woman
Nas,man
The Anxiety: Willow And Tyler Cole,band
Rakim,man
Myles Smith,man
Janelle Monáe,non-binary
K-Ci & Jojo,band
Jackie Wilson,man
Sean Paul Of The Youngbloodz,man
Plain White T'S,band
The Klf,band
Ronnie Milsap,man
Bobby Sherman,man
Will Smith,man
Bachman-Turner Overdrive,band
Toni Basil,woman
Jon B.,man
Sabi,woman
Peso Pluma,man
Julia Michaels,woman
Go West,band
Nelson,band
The Human Beinz,band
Icona Pop,band
Nico & Vinz,band
Jon Bon Jovi,man
Jann Arden,woman
Fancy,band
La Bouche,band
Gq,band
The Sweet Inspirations,band
Waka Flocka Flame,man
Air Supply,band
Common,man
U2,band
Isaac Hayes,man
New Boyz,band
Kesha,woman
Baauer,man
Chumbawamba,band
Mary J. Blige,woman
Robert Knight,man
Bailey Zimmerman,man
Gin Blossoms,band
Usa For Africa,band
Freddy Fender,man
Backstreet Boys,band
Matchbox 20,band
Black Box,band
Flo Rida,man
Joe Walsh,man
Everything But The Girl,band
Divinyls,band
Lil' Kim,woman
Rikrok,man
Janis Ian,woman
Gym Class Heroes,band
The Bobby Fuller Four,band
Bonnie Pointer,woman
Lady Gaga,woman
Sugarland,band
¥$,band
Pseudo Echo,band
Bun B,man
Prince,man
Extreme,band
Coldplay,band
21 Savage,man
Rivers Cuomo,man
Nicki French,woman
Anne Murray,woman
Bill Cosby,man
Sinéad O'Connor,woman
Jessica Andrews,woman
Marc Anthony,man
The First Class,band
Macklemore & Ryan Lewis,band
Sting,man
Gary U.S. Bonds,man
Outkast,band
Tim Mcgraw,man
Dj Khaled,man
Tag Team,band
The Isley Brothers,band
T'Pau,band
"Evelyn ""Champagne"" King",woman
Pebbles,woman
Nu Shooz,band
The Beach Boys,band
Enigma,band
George Mccrae,man
Eve,woman
Jennifer Lopez,woman
Estelle,woman
Bonnie Tyler,man
John Legend,man
Denise Lasalle,woman
The D.E.Y.,band
Kevin Lyttle,man
Dean Lewis,man
Oliver,man
Dawn,band
Taylor Hicks,man
Smash Mouth,band
Ray Parker Jr.,man
Bob Dylan,man
Quincy Jones,man
Deep Purple,band
Frankie J,man
Alice Deejay,band
Eagles,band
Ronnie Dyson,man
Twista,man
Bbmak,band
Tyler Hubbard,man
Prince & The Revolution,band
Eminem,man
Nate Dogg,man
D'Angelo,man
The Three Degrees,band
Toby Keith,man
Dove Cameron,woman
Annie Lennox,woman
Third Eye Blind,band
Cornelius Brothers & Sister Rose,band
Chaka Khan,woman
Lauren Alaina,woman
Eiffel 65,band
Patti Smith Group,woman
Great White,band
Rixton,band
The Lumineers,band
Mercy,man
Faith Hill,woman
Gloria Estefan,woman
Willie Nelson,man
Camila Cabello,woman
The Sylvers,band
Michelle Branch,woman
Gretchen Wilson,woman
Dr. Hook,band
Ruff Endz,band
Groove Theory,band
Moby,man
Kirko Bangz,man
The Shadows Of Knight,band
? And The Mysterians,man
Billy Squier,man
The Hollies,band
Sarah Mclachlan,woman
Max,man
Nu Flavor,band
James & Bobby Purify,band
Joan Baez,woman
Iann Dior,man
The Ventures,band
Kelly Rowland,woman
Foxes,woman
Jerry Butler,man
Tom Petty And The Heartbreakers,band
High Inergy,band
Default,band
Citizen King,band
Hurricane Smith,man
Mac Miller,man
The Brooklyn Bridge,man
Dan Fogelberg,man
Machine Gun Kelly,man
Chad Brock,man
"Earth, Wind & Fire",band
Robbie Nevil,man
Blanco Brown,man
Every Mother'S Son,band
Alice Cooper,man
Bobby Vee,man
Levert,band
Orleans,man
Wing And A Prayer Fife And Drum Corps,band
Billy Ocean,man
Tatyana Ali,woman
Daft Punk,band
Jack Wagner,man
Remy Boyz,man
Lee Dorsey,man
Daddy Yankee,man
Lil Yachty,man
Florida Georgia Line,band
Dave Loggins,man
Rick Astley,man
Maria Muldaur,woman
Engelbert Humperdinck,man
John Martin,man
Stephen Bishop,man
Jan Hammer,man
Starland Vocal Band,band
My Chemical Romance,band
Foster The People,band
Dream Academy,woman
Johnny Nash,man
John Schneider,man
Martika,woman
Cathy Dennis,woman
Jesus Jones,band
Patrick Hernandez,man
Jidenna,man
George Michael,man
Mr Probz,man
Gary Puckett & The Union Gap,band
Musiq Soulchild,man
Kid Ink,man
Ice Spice,woman
Charlie Puth,man
Kaliii,woman
David Houston,man
Lady Antebellum,band
Cherish,band
Grace Potter,woman
Leona Lewis,woman
Parker Mccollum,man
Shontelle,woman
Andy Grammer,man
.38 Special,band
Mike Jones,man
Foreigner,band
Blue Magic,band
Vanilla Ice,man
Cliff Nobles,man
Billy Currington,man
Baby,man
Silk,band
Jefferson Starship,band
Vika Jigulina,woman
Somethin' For The People,band
Master P,man
Georgia Satellites,band
Blue Swede,band
Doechii,woman
Pat Benatar,woman
David Essex,man
Seals And Crofts,band
Flipp Dinero,man
Ahmad,man
Tinie Tempah,man
Skee-Lo,man
Ciara,woman
Rednex,band
Kane Brown,man
Styles P,man
The Miracles,band
New Kids On The Block,band
Omi,man
Ace,band
Sailcat,band
Ralph Tresvant,man
Blueface,man
Shaggy,man
Eurythmics,band
Kanye West,man
Barbara Mason,woman
Lil Pump,man
Cassidy,man
Adina Howard,woman
Gloria Gaynor,woman
Hoobastank,band
Captain Hollywood Project,man
Peter Mccann,man
C. W. Mccall,man
Dna,band
Icehouse,band
Erasure,band
Sonique,woman
Zz Top,band
Tiffany,woman
Rupert Holmes,man
The Bee Gees,band
Trevor Daniel,man
Asap Ferg,man
Maxwell,man
Rick James,man
Lil Tecca,man
Cheat Codes,band
Captain & Tennille,band
New Colony Six,band
Kardinal Offishall,man
The Esquires,band
Kai,woman
Nsync,band
Bee Gees,band
Kid Rock,man
Michael Sembello,man
Real Mccoy,band
Jethro Tull,band
Cypress Hill,band
Eddie Holman,man
Jt Money,man
Mike Posner,man
Billie Myers,woman
Hall & Oates,band
Jet,band
Depeche Mode,band
Rich Boy,man
Til Tuesday,band
Scotty Mccreery,man
Ernest,man
Dazz Band,band
Sir Douglas Quintet,band
Aminé,man
Ricky Nelson,man
Young Nudy,man
Henry Gross,man
Poison,band
Brook Benton,man
Kendrick Lamar,man
Billy Paul,man
Charli Xcx,woman
Gorillaz,band
Big Tymers,band
Phil Collins,man
Culture Beat,band
Jesse Mccartney,man
Vangelis,man
Jermaine Stewart,man
