name,gender
Caroline Ailin,woman
Dua Lipa,woman
Mark Ronson,man
Andrew Wyatt,man
Louis Bell,man
Rocky Block,unknown
John Byron,man
Jordan Dozzi,unknown
Charlie Handsome,man
Post Malone,man
Chris Stapleton,man
Dan Wilson,man
Benjy Davis,man
Kat Higgins,woman
Ryan Larkins,man
Playboi Carti,man
Travis Scott,man
Sheck Wes,man
Jahaan Sweet,man
Ashley Gorley,man
Ben Johnson,man
Hunter Phelps,man
Johnny Marks,man
Tate McRae,woman
Tyler Spry,man
Ryan Tedder,man
Ariana Grande,woman
ILYA,man
Max Martin,man
D’Mile,man
Deputy,unknown
Jeff Gitelman,man
Victoria Monét,woman
Kyla Moscovich,woman
Charles Williams,man
Billie Eilish,woman
FINNEAS,man
Amy Allen,woman
Sabrina Carpenter,woman
Ian Kirkpatrick,man
Julia Michaels,woman
John Ryan,man
Lucas DiFabbio,unknown
Gunna,man
Florian “Flo” Ongonga,man
Hillary Lindsey,woman
Parker McCollum,man
Lori McKenna,woman
Liz Rose,woman
Jessie Murph,woman
Carrie Karpinen,woman
Josh Serrato,man
Gabe Simon,man
Laura Veltz,woman
Koe Wetzel,man
Sean Cook,unknown
Al McKay,man
Paul Russell,man
Maurice White,man
Jack Antonoff,man
Taylor Swift,woman
Casey Brown,man
Jelly Roll,man
Taylor Phillips,man
Austin Nivarel,man
Joe Ragosta,man
Rob Ragosta,man
Walter Afanasieff,man
Mariah Carey,woman
Jessi Alexander,woman
Luke Combs,man
Jonathan Singleton,man
Kendrick Lamar,man
George Michael,man
DJ Smallz 732,man
Tate Kobang,man
Lil Uzi Vert,non-binary
Nicki Minaj,woman
Jesper Mortensen,man
Randy Montana,man
Dave Turnbull,man
Miley Cyrus,non-binary
Gregory Hein,man
Michael Pollack,man
Joe Beal,man
Jim Boothe,man
HARDY,woman
David Ray,man
Daniel Nigro,man
Chappell Roan,woman
Artemas,man
James Fauntleroy,man
Lady Gaga,woman
Bruno Mars,man
Andrew Watt,man
Olivia Rodrigo,woman
Bryan‐Michael Cox,man
Jermaine Dupri,man
JordanXL,man
Muni Long,woman
ATL Jacob,man
Southside,man
Waka Flocka Flame,man
Jessie Jo Dillon,woman
Josh Miller,man
Daniel Ross,unknown
Chris Tompkins,man
Joe Keery,man
Danny L Harle,man
Tobias Jesso Jr.,man
Kevin Parker,man
Benson Boone,man
Jason Evigan,man
Jack LaFrantz,man
Connor McDonough,unknown
Riley McDonough,man
Elimu Tabasuri,man
Jeff Bass,man
Kevin Bell,man
Eminem,man
Trevor Horn,man
Malcolm McLaren,man
Steve Miller,man
Luis Resto,man
Ariowa Irosogie,man
Corey Marlon Lindsay‐Keay,unknown
Tyla,woman
Kane Brown,man
Castle,unknown
Digital Farm Animals,man
Earwulf,unknown
Marshmello,man
Jake Torrey,man
Beyoncé,woman
bülow,man
Nate Ferraro,man
Killah B,man
Lowell,man
Raphael Saadiq,man
ERNEST,man
James Maddocks,man
Milan Sunil Modi,unknown
Jacob Kasher,man
Cheyenna,unknown
Dasha,woman
Travis Heidelman,man
Adam Wendler,man
Tracy Chapman,woman
Noah Kahan,man
Babyface,man
Blair Ferguson,man
Khristopher Riddick‐Tynes,man
SZA,woman
Leon Thomas,man
Rob Bisel,man
Cian Ducrot,man
Carter Lang,man
Monsune,man
Solomonophonic,man
Justin Tranter,non-binary
Jean Baptiste,man
Isaac Earl Bynum,man
Doja Cat,woman
Brian Holland,man
Gentuar Memishi,unknown
Bennett Pepple,unknown
Michael Smith,man
Jasper Harris,man
St. Vincent,woman
Burt Bacharach,man
Ryan Buendia,unknown
Hal David,man
Karl Rubin,man
Julian Bunetta,man
Steph Jones,woman
Mustard,man
Sounwave,man
Hoskins,man
Morgan Wallen,man
Chandler Paul Walters,man
Blair,unknown
Capo,man
J‐Kwon,man
Mark Williams,man
Nevin Sastry,man
Shaboozey,man
Ammo,unknown
DJ Infamous,man
Mikky Ekko,man
Teddy Swims,man
Zach Bryan,man
Kacey Musgraves,woman
21 Savage,man
Edward Cooper III,man
Young Nudy,man
Jordan Davis,man
Matt Dragstrem,man
Ryan Hurd,man
Chris LaCorte,unknown
Chase McGill,man
Blake Pendergrass,man
Fernando Garibay,man
DJ White Shadow,man
Cameron Montgomery,man
Keityn,man
Santiago Alvarado,unknown
Shakira,woman
Zecca,man
BNYX,man
Boi‐1da,man
Scotty Coleman,unknown
Drake,man
Tay Keith,woman
Vinylz,man
benny blanco,man
Robin Weisse,man
Josh Hoge,man
Matthew McGinn,man
Jordan Schmidt,man
Natanael Cano,man
Peso Pluma,man
Tito Double P,man
Noah Levine,man
Aaron Joseph Aguilar,man
Malibu Babie,woman
Łukasz Gottwald,man
Rick James,man
LunchMoney Lewis,man
Alonzo Miller,man
Vaughn Oliver,man
Josh Kear,man
Lainey Wilson,woman
Ryan Coogler,man
Ludwig Göransson,man
Rihanna,woman
Tems,woman
David Fanning,man
Paul Jenkins,man
Megan Moroney,woman
Ben Williams,man
Billy Walsh,man
Ice Spice,woman
RIOTUSA,man
Kurt Allison,man
Tully Kennedy,man
Kelley Lovelace,man
Neil Thrasher,man
Fred again..,man
Ed Sheeran,man
Shellback,man
Ross Copperman,man
Tyler Hubbard,man
Jon Nite,man
Keith Urban,man
Trannie Anderson,woman
Dallas Wilson,unknown
Robert Kim Payne,man
Sean Douglas,man
Kim Petras,woman
Meghan Trainor,woman
Federico Vindver,man
Stephen Sanchez,man
Matthew Castellanos,man
Fousheé,woman
Diana Gordon,woman
John Carroll Kirby,man
Steve Lacy,man
070 Shake,woman
RAYE,woman
Mike Sabath,man
Greylan James,man
Josh Osborne,man
Delgado,man
Lene,woman
Claus Norreen,man
Johnny Pederson,man
Søren Rasted,man
René Dif,man
JVKE,man
Zac Lawson,man
Denisia “Blu June” Andrews,woman
Brittany Chi Coney,woman
Teena Marie,woman
Allen McGrier,unknown
Rissi,man
Nile Rodgers,man
The‐Dream,man
Sam Dew,man
Zoë Kravitz,woman
MCVertt,man
Synthetic,man
Ray Fulcher,unknown
Dan Isbell,man
Keanu Beats,man
Nicolle Galyon,woman
Miranda Lambert,woman
Happy Perez,man
Miguel,man
Joey Moi,man
Mura Masa,man
PinkPantheress,woman
Boogz,man
Finatik,man
Zak,man
Rob Gueringer,unknown
Rodney Jerkins,man
Kyle Fishman,unknown
Jared Mullins,man
Jaxson Free,unknown
Christian “Davis” Stalnecker,man
Tyler Johnson,man
Kid Harpoon,man
Harry Styles,man
Massimo Gabutti,man
David Guetta,man
KAMILLE,woman
Maurizio Lobina,man
Plested,man
Gianfranco Randone,man
Bebe Rexha,woman
Cashmere Cat,man
Sir Dylan,man
Martin “Doc” McKinney,man
Prince 85,man
The Weeknd,man
Cirkut,man
Omer Fedi,man
Jimmy Napes,man
Blake Slatkin,man
Sam Smith,non-binary
Greg Kurstin,man
Jesse Frasure,man
Levon Gray,man
Ben Burgess,man
Mark Holman,man
Jeff Bhasker,man
Philip Lawrence,man
Ari Levine,man
Albert Winkler,man
Alexis Kesselman,woman
Chris DuBois,man
Rogét Chahayed,man
Steve Kipner,man
Terry Shaddick,man
tizhimself,man
Yeti Beats,man
Lin‐Manuel Miranda,man
Maren Morris,woman
Jimmy Robbins,man
Walker Hayes,man
Luke Laird,man
Shane McAnally,man
Dove Cameron,woman
Delacey,woman
Skyler Stonestreet,woman
Sully,man
Y2K,man
Drew Parker,man
Robert Williford,man
Adele,woman
Karl Ivert,man
NEIKED,group
Polo G,man
Kian Sang,unknown
Von Tiger,unknown
Cheche Alara,man
Edgar Barrera,man
Camila Cabello,woman
Scott Harris,unknown
Ricky Reed,man
Brett Beavers,man
John Morgan,man
Clarence Coffee Jr.,man
Sarah Hudson,woman
Stephen Kozmeniuk,man
Megan Thee Stallion,woman
Nija,woman
OG Parker,man
Richard “P2J” Isong,man
Okiemute Oniko,man
Wizkid,man
Jaren Johnston,man
Dylan Patrice,man
ThankGod4Cody,man
Kate Bush,woman
John Eriksson,man
Brent Kutzle,man
Peter Morén,man
Björn Yttling,man
Jacob Davis,man
Josh Jenkins,man
Matt Jenkins,man
Jerry Leiber,man
Mike Stoller,man
Tim Nichols,man
Thomas Rhett,man
Mark D. Sanders,man
Cole Swindell,man
Bad Bunny,man
Belly,man
DaHeala,man
Oscar Holter,man
Big Freedia,non-binary
Allen George,man
JAY‐Z,man
Fred McFarlane,man
Adam Pigott,man
Christopher Stewart,man
Andrew Bolooki,man
Dre London,unknown
Brian Lee,man
Em Beihold,woman
Dru Decaro,man
Nick Lopez,man
Matt Rogers,man
Ben Stennis,man
Cambo,man
Shane Stevens,man
Marco Borrero,man
"Roberto Rosado ""La Paciencia""",man
KBeaZy,man
Lil Nas X,man
Josh Thompson,man
Sara Davis,unknown
GAYLE,woman
Dave Pittenger,man
Denzel Baptiste,man
David Biral,man
Jack Harlow,man
Nick Lee,man
Ye,man
Robin Fredriksson,man
JID,man
Mattias Larsson,man
Ben McKee,man
Daniel Platzman,man
Dan Reynolds,man
Wayne Sermon,man
Dave Bayley,man
Johnny McDaid,man
Lydia Asrat,woman
Aaron Horn,man
Linden Jay,man
Jidenna,man
Aynzli Jones,man
Elton John,man
Nick Littlemore,man
Sam Littlemore,man
Peter Mayes,man
Bernie Taupin,man
Kal Lavelle,woman
Steve Mac,man
Justin Bieber,man
The Kid LAROI,man
Charlie Puth,man
Subhaan Rahman,unknown
Stephen Hague,man
Ronald Larkins,man
Lizzo,woman
Larry Price,man
Theron Thomas,man
Fergie,woman
Douglas Ford,unknown
Jamal Jones,man
Ludacris,man
Nickie Jon Pabón,unknown
Raheem the Dream,man
José Vélez,man
will.i.am,man
Elvis “Blac Elvis” Williams,man
A1 LaFlare,unknown
Latto,woman
Jon Bellion,man
Jordan Johnson,man
Stefan Johnson,man
Sylvester,man
Emily Warren,woman
BRS Kash,man
Chi Chi,woman
Adam Foster,woman
Casey Beathard,man
Eric Church,man
Monty Criswell,man
Oliver Frid,man
Mr. Franks,man
Tayla Parx,woman
TBHits,man
Lydia Vaughan,woman
FLETCHER,woman
Wouter Hardy,man
Will Knox,man
Duncan Laurence,man
Joel Sjöö,man
Cutfather,man
Daniel Davidsen,man
James Norton,unknown
Cleo Tighe,unknown
Peter Wallevik,man
Rhett Akins,man
Parker Welling,woman
Michael Henderson,man
Joshua Baker,man
Cardi B,woman
Sean Island,unknown
Edis Selmani,unknown
James Steed,unknown
Jordan Thorpe,man
Ron “Neff-U” Feemster,man
Christopher Jefferies,man
Darius Logan,man
Dominique Logan,man
Omarion,man
Demarie Sheki,unknown
Raul Cubina,man
Alexander Izquierdo,man
Ava Max,woman
Hillary Bernstein,woman
Mimoza Blinsson,woman
Desmond Child,man
Jakke Erixson,man
Leland,man
Madison Love,woman
RedOne,man
Cary Barlowe,man
Corey Crowder,man
Chris Young,man
Peggy Farina,woman
Bob Gaudio,man
Ryan Lewis,man
Shay Mooney,man
Jordan Reynolds,man
Dan Smyers,man
Gabby Barrett,woman
Zachary Kale,man
Emily Landis,woman
Jim McCormick,man
Brinley Addington,woman
Jerry Flowers,man
Aaron Dessner,man
Jacob Collier,man
Loshendrix,unknown
Nascent,unknown
Jessica Agombar,woman
David Stewart,man
Blake Harnage,man
Victoria Zaro,woman
Anthony Jones,unknown
Chance the Rapper,man
Jorgen Odegard,unknown
blackbear,man
Andrew Goldstein,man
Joe Kirkland,man
Adam Levine,man
Einer Bankz,man
Murda Beatz,man
Alexander Tsarngshuen Wu,man
Courageous Xavier Herrera,unknown
Peter Lee Johnson,man
Scott Nicholson,unknown
Masked Wolf,man
Angelina Barrett,woman
London on da Track,man
Travis Barker,man
Nick Long,man
mgk,man
Daniel Caesar,man
GIVĒON,man
HARV,unknown
Felisha King,woman
Luis Manuel Martinez Jr,unknown
Sean Leon,man
Aaron Simmonds,unknown
Keavan Yazdani,man
Jenna Andrews,woman
Alex Bilowitz,man
Sebastian Garcia,man
Rob Grimaldi,man
Stephen Kirk,man
Ron Perry,man
RM,man
24kGoldn,man
iann dior,man
Roy Lenzo,man
Joe Jonas,man
Kevin Jonas,man
Nick Jonas,man
Juice WRLD,man
Tyler Reeve,man
Thomas Archer,man
James McNair,man
Brock Berryhill,man
Tyga,man
Wyatt Durrette,man
BENEE,woman
Josh Fountain,man
Djeisan Suskov,unknown
Scooter Braun,man
Whitney Phillips,woman
Gian Stone,man
Freddy Wexler,man
Twysted Genius,man
Lil Baby,man
Max Ernst,man
Spencer Ernst,unknown
Chelsea Lee,woman
CashMoney AP,man
Los Hendrix,man
NLE Choppa,man
Roddy Ricch,man
Forrest Frank,man
Colin Padalecki,man
Audrey Greisham,woman
Russ Hull,man
Sam Hunt,man
Mary Jean Shurtz,unknown
Kurt Cobain,man
Dot da Genius,man
Wheezy,man
Young Thug,man
Madison Font,woman
Taylor Kerr,woman
Deric Ruttan,man
YoungBoy Never Broke Again,man
Khalid,man
Swae Lee,man
Mike WiLL Made‐It,man
D.A. Got That Dope,man
Alejandro Villasana,man
Fuego,man
Michael Tyler,man
Matthew Ramsey,man
Trevor Rosen,man
Brad Tursi,man
Jason Boyd,man
Ashley Joi,woman
Kid Culture,man
Sasha Sirota,man
Steven Cheung,man
